,trial,choice,result,game_state,scheduled_probability,rt_central,rt_choice,time_start,time_end,subject,date,med_program_file,session
113,114,maximization,not_rewarded,6,0.3333,0.96,2.39,1789.27,1802.62,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
114,115,maximization,rewarded,6,0.3333,1.2,0.95,1804.62,1819.77,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
115,116,maximization,not_rewarded,6,0.3333,0.94,1.23,1821.77,1833.94,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
116,117,maximization,not_rewarded,6,0.3333,0.48,1.06,1835.94,1847.48,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
117,118,maximization,not_rewarded,6,0.3333,5.45,1.42,1849.48,1866.35,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
118,119,maximization,rewarded,6,0.3333,3.0,0.86,1868.35,1885.21,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
119,120,maximization,not_rewarded,6,0.3333,2.28,0.9,1887.21,1900.39,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
120,121,maximization,rewarded,6,0.3333,12.8,1.42,1902.39,1929.61,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
121,122,maximization,not_rewarded,6,0.3333,13.93,1.82,1931.61,1957.36,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
122,123,maximization,not_rewarded,6,0.3333,6.79,7.93,1959.36,1984.08,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
123,124,maximization,rewarded,6,0.3333,103.01,1.25,1986.08,2103.34,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
124,125,maximization,rewarded,6,0.3333,0.99,1.56,2105.34,2120.89,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
125,126,maximization,not_rewarded,6,0.3333,1.28,1.38,2122.89,2135.55,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
126,127,maximization,rewarded,6,0.3333,0.71,1.47,2137.55,2152.73,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
127,128,maximization,rewarded,6,0.3333,1.49,0.94,2154.73,2170.16,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
128,129,maximization,rewarded,6,0.3333,1.26,2.07,2172.16,2188.49,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
129,130,maximization,not_rewarded,6,0.3333,2.43,1.79,2190.49,2204.71,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
130,131,maximization,rewarded,6,0.3333,0.7,0.95,2206.71,2221.36,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
131,132,maximization,not_rewarded,6,0.3333,1.41,2.64,2223.36,2237.41,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
132,133,maximization,not_rewarded,6,0.3333,1.61,0.82,2239.41,2251.84,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
133,134,maximization,not_rewarded,6,0.3333,1.39,1.4,2253.84,2266.63,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
134,135,maximization,rewarded,6,0.3333,0.68,0.82,2268.63,2283.13,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
135,136,maximization,not_rewarded,6,0.3333,1.18,1.33,2285.13,2297.64,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
136,137,maximization,not_rewarded,6,0.3333,0.9,0.97,2299.64,2311.51,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
137,138,maximization,not_rewarded,6,0.3333,1.33,1.75,2313.51,2326.59,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
138,139,maximization,not_rewarded,6,0.3333,1.2,1.41,2328.59,2341.2,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
139,140,maximization,not_rewarded,6,0.3333,2.53,1.03,2343.2,2356.76,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
140,141,maximization,not_rewarded,6,0.3333,2.11,1.14,2358.76,2372.01,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
141,142,maximization,not_rewarded,6,0.3333,0.79,0.6,2374.01,2385.4,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
142,143,maximization,not_rewarded,6,0.3333,0.98,0.86,2387.4,2399.24,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
143,144,maximization,rewarded,6,0.3333,2.04,0.92,2401.24,2417.2,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
144,145,maximization,rewarded,6,0.3333,2.12,0.77,2419.2,2435.09,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
145,146,maximization,not_rewarded,6,0.3333,1.12,5.48,2437.09,2453.69,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
146,147,maximization,not_rewarded,6,0.3333,0.86,0.88,2455.69,2467.43,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
147,148,maximization,rewarded,6,0.3333,1.37,1.31,2469.43,2485.11,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
148,149,maximization,not_rewarded,6,0.3333,1.16,0.79,2487.11,2499.06,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
149,150,maximization,not_rewarded,6,0.3333,0.82,2.24,2501.06,2514.12,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
150,151,maximization,not_rewarded,6,0.3333,1.26,2.32,2516.12,2529.7,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
151,152,maximization,not_rewarded,6,0.3333,2.37,1.7,2531.7,2545.77,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
152,153,maximization,not_rewarded,6,0.3333,1.66,1.92,2547.77,2561.35,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
153,154,maximization,not_rewarded,6,0.3333,1.66,1.85,2563.35,2576.86,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
154,155,maximization,not_rewarded,6,0.3333,1.2,0.94,2578.86,2591.0,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
155,156,maximization,not_rewarded,6,0.3333,0.77,0.86,2593.0,2604.63,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
156,157,maximization,not_rewarded,6,0.3333,0.96,1.51,2606.63,2619.1,P327,06/07/17,harvard_game_pigeons_MAXinLEFT,s05
